,Symptom,Disease
452,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
453,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
454,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
455,"depression ,insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
456,"depression ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
457,"depression ,acne or pimples ,difficulty eating ",eating disorder
458,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ",eating disorder
459,"depression ,insomnia ,acne or pimples ,decreased appetite ",eating disorder
460,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
461,"depressive or psychotic symptoms ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
462,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
463,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
464,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
465,"depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
466,"depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
467,"anxiety and nervousness ,depression ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
468,"depression ,depressive or psychotic symptoms ,acne or pimples ,weight gain ",eating disorder
469,"anxiety and nervousness ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
470,"depression ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
471,"anxiety and nervousness ,depression ,insomnia ,acne or pimples ,difficulty eating ",eating disorder
472,"anxiety and nervousness ,insomnia ,abusing alcohol ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
473,"depression ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
474,"depression ,insomnia ,abusing alcohol ,difficulty eating ,decreased appetite ",eating disorder
475,"insomnia ,abusing alcohol ,weight gain ,difficulty eating ",eating disorder
476,"anxiety and nervousness ,depression ,abusing alcohol ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
477,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,difficulty eating ,decreased appetite ",eating disorder
478,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,difficulty eating ",eating disorder
479,"depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
480,"insomnia ,abusing alcohol ,acne or pimples ,decreased appetite ",eating disorder
481,"anxiety and nervousness ,insomnia ,difficulty eating ",eating disorder
482,"depression ,insomnia ,acne or pimples ",eating disorder
483,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ",eating disorder
484,"depression ,insomnia ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
485,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ,decreased appetite ",eating disorder
486,"anxiety and nervousness ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
487,"anxiety and nervousness ,depressive or psychotic symptoms ,acne or pimples ",eating disorder
488,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,acne or pimples ",eating disorder
489,"depression ,depressive or psychotic symptoms ,insomnia ,acne or pimples ,weight gain ,difficulty eating ,decreased appetite ",eating disorder
490,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,difficulty eating ,decreased appetite ",eating disorder
491,"depressive or psychotic symptoms ,insomnia ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
492,"anxiety and nervousness ,depression ,insomnia ,acne or pimples ,weight gain ,difficulty eating ",eating disorder
493,"anxiety and nervousness ,depressive or psychotic symptoms ,abusing alcohol ,acne or pimples ,weight gain ",eating disorder
494,"difficulty speaking ,problems with movement ,leg stiffness or tightness ,stiffness all over ",parkinson disease
495,"dizziness ,abnormal involuntary movements ,problems with movement ,focal weakness ,leg stiffness or tightness ",parkinson disease
496,"dizziness ,abnormal involuntary movements ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
497,"difficulty speaking ,problems with movement ,focal weakness ,leg stiffness or tightness ",parkinson disease
498,"abnormal involuntary movements ,weakness ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
499,"dizziness ,abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,leg stiffness or tightness ",parkinson disease
500,"dizziness ,abnormal involuntary movements ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
501,"abnormal involuntary movements ,difficulty speaking ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
502,"dizziness ,abnormal involuntary movements ,difficulty speaking ,focal weakness ,stiffness all over ",parkinson disease
503,"difficulty speaking ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
504,"difficulty speaking ,problems with movement ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
505,"dizziness ,abnormal involuntary movements ,leg stiffness or tightness ,stiffness all over ",parkinson disease
506,"dizziness ,weakness ,focal weakness ",parkinson disease
507,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
508,"dizziness ,difficulty speaking ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
509,"problems with movement ,focal weakness ,stiffness all over ",parkinson disease
510,"difficulty speaking ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
511,"problems with movement ,leg stiffness or tightness ",parkinson disease
512,"dizziness ,abnormal involuntary movements ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
513,"abnormal involuntary movements ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
514,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,leg stiffness or tightness ",parkinson disease
515,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
516,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
517,"focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
518,"abnormal involuntary movements ,difficulty speaking ,weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
519,"abnormal involuntary movements ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
520,"dizziness ,abnormal involuntary movements ,difficulty speaking ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
521,"abnormal involuntary movements ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
522,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
523,"dizziness ,problems with movement ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
524,"dizziness ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
525,"dizziness ,abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,leg stiffness or tightness ",parkinson disease
526,"dizziness ,abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ",parkinson disease
527,"leg stiffness or tightness ,stiffness all over ",parkinson disease
528,"abnormal involuntary movements ,weakness ,focal weakness ,stiffness all over ",parkinson disease
529,"dizziness ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
530,"difficulty speaking ,focal weakness ,leg stiffness or tightness ",parkinson disease
531,"abnormal involuntary movements ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ",parkinson disease
532,"dizziness ,abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
533,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
534,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
535,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
536,"abnormal involuntary movements ,difficulty speaking ,weakness ",parkinson disease
537,"dizziness ,weakness ,leg stiffness or tightness ",parkinson disease
538,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
539,"dizziness ,difficulty speaking ,weakness ,focal weakness ,stiffness all over ",parkinson disease
540,"abnormal involuntary movements ,problems with movement ,leg stiffness or tightness ,stiffness all over ",parkinson disease
541,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
542,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
543,"dizziness ,difficulty speaking ,problems with movement ,weakness ,leg stiffness or tightness ",parkinson disease
544,"problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
545,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
546,"abnormal involuntary movements ,difficulty speaking ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
547,"dizziness ,abnormal involuntary movements ,problems with movement ,weakness ,focal weakness ",parkinson disease
548,"dizziness ,problems with movement ,weakness ,focal weakness ,disturbance of memory ",parkinson disease
549,"abnormal involuntary movements ,problems with movement ,focal weakness ,stiffness all over ",parkinson disease
550,"dizziness ,problems with movement ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
551,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,focal weakness ,stiffness all over ",parkinson disease
552,"dizziness ,abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,stiffness all over ",parkinson disease
553,"difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
554,"dizziness ,difficulty speaking ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
555,"abnormal involuntary movements ,difficulty speaking ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
556,"dizziness ,abnormal involuntary movements ,problems with movement ,focal weakness ,stiffness all over ",parkinson disease
557,"dizziness ,abnormal involuntary movements ,problems with movement ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
558,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
559,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
560,"dizziness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
561,"dizziness ,abnormal involuntary movements ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
562,"dizziness ,abnormal involuntary movements ,leg stiffness or tightness ,stiffness all over ",parkinson disease
563,"abnormal involuntary movements ,weakness ,focal weakness ,stiffness all over ",parkinson disease
564,"dizziness ,abnormal involuntary movements ,problems with movement ,weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
565,"difficulty speaking ,problems with movement ,weakness ,focal weakness ,stiffness all over ",parkinson disease
566,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
567,"dizziness ,difficulty speaking ,problems with movement ,focal weakness ,stiffness all over ",parkinson disease
568,"dizziness ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
569,"dizziness ,abnormal involuntary movements ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
570,"difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
571,"dizziness ,abnormal involuntary movements ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
572,"abnormal involuntary movements ,difficulty speaking ,weakness ,disturbance of memory ,stiffness all over ",parkinson disease
573,"dizziness ,abnormal involuntary movements ,focal weakness ,leg stiffness or tightness ",parkinson disease
574,"difficulty speaking ,problems with movement ,leg stiffness or tightness ,stiffness all over ",parkinson disease
575,"dizziness ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
576,"focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
577,"difficulty speaking ,focal weakness ,stiffness all over ",parkinson disease
578,"difficulty speaking ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
579,"dizziness ,difficulty speaking ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
580,"dizziness ,focal weakness ,stiffness all over ",parkinson disease
581,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
582,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ",parkinson disease
583,"focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
584,"abnormal involuntary movements ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
585,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
586,"dizziness ,difficulty speaking ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
587,"dizziness ,difficulty speaking ,problems with movement ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
588,"problems with movement ,disturbance of memory ",parkinson disease
589,"problems with movement ,focal weakness ,stiffness all over ",parkinson disease
590,"dizziness ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
591,"dizziness ,weakness ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
592,"dizziness ,abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
593,"dizziness ,difficulty speaking ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
594,"dizziness ,difficulty speaking ,focal weakness ,stiffness all over ",parkinson disease
595,"dizziness ,abnormal involuntary movements ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
596,"dizziness ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
597,"weakness ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
598,"dizziness ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
599,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
600,"abnormal involuntary movements ,weakness ,stiffness all over ",parkinson disease
601,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
602,"weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
603,"abnormal involuntary movements ,difficulty speaking ,weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
604,"abnormal involuntary movements ,difficulty speaking ,weakness ,leg stiffness or tightness ",parkinson disease
605,"dizziness ,abnormal involuntary movements ,problems with movement ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
606,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
607,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
608,"abnormal involuntary movements ,problems with movement ,leg stiffness or tightness ,stiffness all over ",parkinson disease
609,"dizziness ,abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
610,"dizziness ,abnormal involuntary movements ,problems with movement ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
611,"dizziness ,abnormal involuntary movements ,weakness ,stiffness all over ",parkinson disease
612,"difficulty speaking ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
613,"abnormal involuntary movements ,problems with movement ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
614,"abnormal involuntary movements ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
615,"problems with movement ,leg stiffness or tightness ,stiffness all over ",parkinson disease
616,"dizziness ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
617,"dizziness ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
618,"dizziness ,difficulty speaking ,disturbance of memory ,stiffness all over ",parkinson disease
619,"dizziness ,abnormal involuntary movements ,weakness ,focal weakness ,stiffness all over ",parkinson disease
620,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
621,"dizziness ,leg stiffness or tightness ",parkinson disease
622,"dizziness ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
623,"weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
624,"dizziness ,problems with movement ,weakness ,leg stiffness or tightness ",parkinson disease
625,"dizziness ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
626,"weakness ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
627,"difficulty speaking ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
628,"problems with movement ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
629,"problems with movement ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
630,"dizziness ,abnormal involuntary movements ,focal weakness ,disturbance of memory ",parkinson disease
631,"dizziness ,abnormal involuntary movements ,difficulty speaking ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
632,"dizziness ,problems with movement ,focal weakness ,leg stiffness or tightness ",parkinson disease
633,"dizziness ,abnormal involuntary movements ,focal weakness ,leg stiffness or tightness ",parkinson disease
634,"dizziness ,disturbance of memory ",parkinson disease
635,"difficulty speaking ,problems with movement ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
636,"difficulty speaking ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
637,"abnormal involuntary movements ,leg stiffness or tightness ",parkinson disease
638,"abnormal involuntary movements ,problems with movement ,focal weakness ,leg stiffness or tightness ",parkinson disease
639,"weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
640,"dizziness ,abnormal involuntary movements ,difficulty speaking ,leg stiffness or tightness ,stiffness all over ",parkinson disease
641,"dizziness ,abnormal involuntary movements ,difficulty speaking ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
642,"abnormal involuntary movements ,difficulty speaking ,focal weakness ,leg stiffness or tightness ",parkinson disease
643,"dizziness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
644,"problems with movement ,weakness ,disturbance of memory ,stiffness all over ",parkinson disease
645,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
646,"problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ",parkinson disease
647,"difficulty speaking ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
648,"abnormal involuntary movements ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
649,"abnormal involuntary movements ,problems with movement ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
650,"dizziness ,problems with movement ,weakness ,focal weakness ,disturbance of memory ",parkinson disease
651,"dizziness ,weakness ,stiffness all over ",parkinson disease
652,"dizziness ,abnormal involuntary movements ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
653,"dizziness ,difficulty speaking ,problems with movement ,disturbance of memory ,stiffness all over ",parkinson disease
654,"abnormal involuntary movements ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
655,"weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
656,"problems with movement ,weakness ,focal weakness ,stiffness all over ",parkinson disease
657,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
658,"dizziness ,difficulty speaking ,problems with movement ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
659,"problems with movement ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
660,"problems with movement ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
661,"dizziness ,difficulty speaking ,problems with movement ,weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
662,"abnormal involuntary movements ,focal weakness ,stiffness all over ",parkinson disease
663,"dizziness ,stiffness all over ",parkinson disease
664,"difficulty speaking ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
665,"focal weakness ,stiffness all over ",parkinson disease
666,"dizziness ,leg stiffness or tightness ",parkinson disease
667,"dizziness ,weakness ,disturbance of memory ,stiffness all over ",parkinson disease
668,"dizziness ,problems with movement ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
669,"dizziness ,difficulty speaking ,problems with movement ,disturbance of memory ",parkinson disease
670,"abnormal involuntary movements ,weakness ,focal weakness ,leg stiffness or tightness ",parkinson disease
671,"problems with movement ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
672,"dizziness ,problems with movement ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
673,"difficulty speaking ,problems with movement ,focal weakness ",parkinson disease
674,"abnormal involuntary movements ,problems with movement ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
675,"problems with movement ,focal weakness ",parkinson disease
676,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
677,"difficulty speaking ,problems with movement ,weakness ,focal weakness ",parkinson disease
678,"focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
679,"difficulty speaking ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
680,"abnormal involuntary movements ,difficulty speaking ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
681,"problems with movement ,weakness ,stiffness all over ",parkinson disease
682,"weakness ,focal weakness ,leg stiffness or tightness ",parkinson disease
683,"difficulty speaking ,weakness ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
684,"focal weakness ,disturbance of memory ",parkinson disease
685,"dizziness ,abnormal involuntary movements ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
686,"dizziness ,abnormal involuntary movements ,difficulty speaking ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
687,"abnormal involuntary movements ,difficulty speaking ,weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
688,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
689,"abnormal involuntary movements ,problems with movement ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
690,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
691,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
692,"abnormal involuntary movements ,focal weakness ,leg stiffness or tightness ",parkinson disease
693,"difficulty speaking ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
694,"focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
695,"problems with movement ,disturbance of memory ,stiffness all over ",parkinson disease
696,"problems with movement ,focal weakness ,stiffness all over ",parkinson disease
697,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ",parkinson disease
698,"weakness ,focal weakness ,disturbance of memory ",parkinson disease
699,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,stiffness all over ",parkinson disease
700,"abnormal involuntary movements ,focal weakness ,disturbance of memory ,stiffness all over ",parkinson disease
701,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ",parkinson disease
702,"problems with movement ,focal weakness ",parkinson disease
703,"abnormal involuntary movements ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
704,"difficulty speaking ,weakness ",parkinson disease
705,"dizziness ,abnormal involuntary movements ,problems with movement ,weakness ,focal weakness ,stiffness all over ",parkinson disease
706,"dizziness ,abnormal involuntary movements ,difficulty speaking ,leg stiffness or tightness ",parkinson disease
707,"dizziness ,abnormal involuntary movements ,difficulty speaking ,problems with movement ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
708,"dizziness ,weakness ,focal weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
709,"abnormal involuntary movements ,difficulty speaking ,weakness ,focal weakness ,disturbance of memory ",parkinson disease
710,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ",parkinson disease
711,"abnormal involuntary movements ,difficulty speaking ,problems with movement ,leg stiffness or tightness ",parkinson disease
712,"abnormal involuntary movements ,difficulty speaking ,weakness ,stiffness all over ",parkinson disease
713,"difficulty speaking ,problems with movement ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
714,"difficulty speaking ,problems with movement ,weakness ,focal weakness ",parkinson disease
715,"dizziness ,problems with movement ,weakness ,focal weakness ,leg stiffness or tightness ",parkinson disease
716,"dizziness ,abnormal involuntary movements ,difficulty speaking ,focal weakness ,disturbance of memory ",parkinson disease
717,"dizziness ,abnormal involuntary movements ,weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
718,"dizziness ,abnormal involuntary movements ,problems with movement ,weakness ,leg stiffness or tightness ",parkinson disease
719,"difficulty speaking ,problems with movement ,weakness ,disturbance of memory ,leg stiffness or tightness ,stiffness all over ",parkinson disease
720,"dizziness ,difficulty speaking ,problems with movement ,focal weakness ,leg stiffness or tightness ,stiffness all over ",parkinson disease
721,"abnormal involuntary movements ,weakness ,disturbance of memory ,leg stiffness or tightness ",parkinson disease
